053-035,077-103/72
077-103,182-076/108
077-103,179-185/130
182-076,277-104/99
277-104,464-167/197
179-185,311-287/166
311-287,342-272/34
342-272,464-168/160
342-272,328-344/73
328-344,284-390/63
284-390,320-412/42
320-412,332-342/71
332-342,385-391/72
385-391,320-412/68
320-412,232-408/88
232-408,164-430/71
385-391,500-365/117
500-365,428-294/101
428-294,464-168/131
464-168,520-024/154
464-168,580-181/116
580-181,634-181/54
634-181,678-218/57
634-181,621-095/86
621-095,081-071/540
500-365,548-342/53
548-342,652-388/113
652-388,760-414/111
760-414,767-195/219
767-195,765-170/25
765-170,751-111/60
751-111,797-058/70
797-058,080-017/718
797-058,091-137/710
791-137,812-231/96
791-137,765-170/42
791-137,678-218/139
765-170,631-182/134
