053-035,077-103
077-103,182-076
077-103,179-185
182-076,277-104
277-104,464-167
179-185,311-287
311-287,342-272
342-272,464-168
342-272,328-344
328-344,284-390
284-390,320-412
320-412,332-342
332-342,385-391
385-391,320-412
320-412,232-408
232-408,164-430
385-391,500-365
500-365,428-294
428-294,464-168
464-168,520-024
464-168,580-181
580-181,634-181
634-181,678-218
634-181,621-095
621-095,081-071
500-365,548-342
548-342,652-388
652-388,760-414
760-414,767-195
767-195,765-170
765-170,751-111
751-111,797-058
797-058,080-017
797-058,091-137
791-137,812-231
791-137,765-170
791-137,678-218
765-170,631-182
