052-033,077-104/75
077-104,180-075/107
180-075,278-101/101
278-101,466-170/200
077-103,176-182/126
176-182,312-289/173
312-289,343-271/35
343-271,468-169/161
342-271,331-344/73
331-344,322-411/67
322-411,285-391/42
285-391,331-344/65
331-344,386-392/73
386-392,321-411/67
321-411,236-411/85
236-411,167-432/72
384-393,500-365/119
500-365,430-293/100
430-293,466-171/127
500-365,548-345/52
548-345,654-390/115
654-390,760-414/108
466-170,520-026/153
466-168,580-183/114
580-183,633-184/53
633-184,625-098/86
625-098,585-073/47
633-183,677-219/56
677-219,765-199/90
765-199,763-414/215
634-183,766-171/132
766-171,767-198/27
767-169,752-109/61
752-109,799-062/66
799-062,783-016/48
798-057,791-139/82
791-139,766-169/39
792-137,815-231/96
