052-033,077-104
077-104,180-075
180-075,278-101
278-101,466-170
077-103,176-182
176-182,312-289
312-289,343-271
343-271,468-169
342-271,331-344
331-344,322-411
322-411,285-391
285-391,331-344
331-344,386-392
386-392,321-411
321-411,236-411
236-411,167-432
384-393,500-365
500-365,430-293
430-293,466-171
500-365,548-345
548-345,654-390
654-390,760-414
466-170,520-026
466-168,580-183
580-183,633-184
633-184,625-098
625-098,585-073
633-183,677-219
677-219,765-199
765-199,763-414
634-183,766-171
766-171,767-198
767-169,752-109
752-109,799-062
799-062,783-016
798-057,791-139
791-139,766-169
792-137,815-231469-167,579-188
466-170,432-291
56-36,77-102
178-181,166-430
